Item Type	Filter Code	ID	Affix	Attributes	Magic Only	alvl	rlvl	freq	group	Changes
Non-class Helms	HELM AND !CLASS	244	Perfection	+[16-20] to Dexterity		59	51	3	17	added Chest, Shield, added Helm
Non-class Helms	HELM AND !CLASS	245	Nirvana	+[21-30] to Dexterity		72	64	3	17	was 1, added Helm, Chest, Shield
Non-class Helms	HELM AND !CLASS	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Non-class Helms	HELM AND !CLASS	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Non-class Helms	HELM AND !CLASS	263	Equilibrium	+17% Faster Hit Recovery		9	6	4	18	added Helm
Non-class Helms	HELM AND !CLASS	264	Stability	+24% Faster Hit Recovery		18	13	4	18	added Helm, Shield
Non-class Helms	HELM AND !CLASS		Chance	[5-15]% Better Chance of Getting Magic Items		12	9	4	22	added Helm, Quiver
Non-class Helms	HELM AND !CLASS		Fortune	[16-25]% Better Chance of Getting Magic Items		16	12	4	22	added Helm, Quiver
Non-class Helms	HELM AND !CLASS	740	Energy	+1 to Energy		1-4	1	4	23	
Non-class Helms	HELM AND !CLASS	293	Energy	+[1-3] to Energy		1-41	1	4	23	added max alvl, added Helm, Chest
Non-class Helms	HELM AND !CLASS	304	Energy	+[1-3] to Energy		4-44	3	3	23	added max alvl
Non-class Helms	HELM AND !CLASS	294	Mind	+[4-6] to Energy		7-47	3	4	23	added max alvl, removed Amulet, added Quiver, added Helm, Chest
Non-class Helms	HELM AND !CLASS	305	Mind	+[4-6] to Energy		10-50	7	3	23	added max alvl
Non-class Helms	HELM AND !CLASS	295	Brilliance	+[7-10] to Energy		13	9	3	23	added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	306	Brilliance	+[7-10] to Energy	1	16	12	3	23	
Non-class Helms	HELM AND !CLASS	296	Sorcery	+[11-15] to Energy		21	16	3	23	added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	307	Sorcery	+[11-15] to Energy		26	21	3	23	
Non-class Helms	HELM AND !CLASS	297	Wizardry	+[16-20] to Energy		31	23	3	23	added Helm, Chest
Non-class Helms	HELM AND !CLASS	298	Enlightenment	+[21-30] to Energy		41	33	3	23	was 1, added Helm, Chest
Non-class Helms	HELM AND !CLASS		Light	+1 to Light Radius, +[15-30] to Attack Rating		6-46	4	1	25	added max alvl, added Quiver, AR was 15
Non-class Helms	HELM AND !CLASS		Radiance	+3 to Light Radius, +[30-60] to Attack Rating		15-55	11	1	25	split off Ring, Amulet, added max alvl, added Chest, Quiver, AR was 30
Non-class Helms	HELM AND !CLASS		Clarity	+4 to Light Radius, +[60-120] to Attack Rating		25	21	1	25	new
Non-class Helms	HELM AND !CLASS	312	Sun	+5 to Light Radius, [10-20]% Bonus to Attack Rating		17	12	1	25	added Chest, increased AR% values
Non-class Helms	HELM AND !CLASS	824	Sunset	+5 to Light Radius, 10% Bonus to Attack Rating		27	22	1	25	new
Non-class Helms	HELM AND !CLASS	855	Sunset	+[5-8] to Light Radius, 10% Bonus to Attack Rating		34	26	1	25	new
Non-class Helms	HELM AND !CLASS		Jackal	+[1-5] to Life		8-48	6	3	26	added max alvl
Non-class Helms	HELM AND !CLASS		Fox	+[6-10] to Life		17-57	13	3	26	split off Ring, added max alvl
Non-class Helms	HELM AND !CLASS		Wolf	+[11-20] to Life		34-74	26	3	26	split off Ring, added max alvl
Non-class Helms	HELM AND !CLASS		Tiger	+[21-30] to Life		51	43	3	26	
Non-class Helms	HELM AND !CLASS		Mammoth	+[31-40] to Life		68	60	3	26	
Non-class Helms	HELM AND !CLASS		Leech	[3-4]% Life Stolen per Hit		14	10	4	27	added Helm
Non-class Helms	HELM AND !CLASS	356	Locust	[5-6]% Life Stolen per Hit		47	35	4	27	added Helm
Non-class Helms	HELM AND !CLASS		Bat	[3-4]% Mana Stolen per Hit		15	11	4	28	added Helm
Non-class Helms	HELM AND !CLASS	363	Wraith	[5-6]% Mana Stolen per Hit		58	40	4	28	added Helm
Non-class Helms	HELM AND !CLASS		Remedy	Poison Length Reduced by 25%		7	5	3	29	added Quiver
Non-class Helms	HELM AND !CLASS	372	Strength	+[1-2] to Strength		1-41	1	4	31	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS	373	Might	+[3-5] to Strength		10-50	8	3	31	split off Amulet, addex max alvl, added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	374	Ox	+[6-9] to Strength		26	19	3	31	added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	375	Giant	+[10-15] to Strength		42	34	3	31	added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	376	Titan	+[16-20] to Strength		58	50	3	31	added Helm
Non-class Helms	HELM AND !CLASS	377	Atlas	+[21-30] to Strength		71	63	3	31	added Helmet & Shield
Non-class Helms	HELM AND !CLASS		Self-Repair	Repairs 1 Durability in 33 seconds		3	1	3	37	
Non-class Helms	HELM AND !CLASS		Fast Repair	Repairs 1 Durability in 20 seconds		20	12	2	37	
Non-class Helms	HELM AND !CLASS		Ages	Indestructible	1	50	42	1	39	
Non-class Helms	HELM AND !CLASS		Charged Shield	10% Chance to Cast Level 3 Charged Bolt when Struck		6	4	1	44	
Non-class Helms	HELM AND !CLASS		Charged Shield	12% Chance to Cast Level 4 Charged Bolt when Struck		16	12	1	44	
Non-class Helms	HELM AND !CLASS		Charged Shield	14% Chance to Cast Level 5 Charged Bolt when Struck		26	19	1	44	
Non-class Helms	HELM AND !CLASS		Frost Shield	5% Chance to Cast Level 3 Frost Nova when Struck		12	9	1	44	
Non-class Helms	HELM AND !CLASS		Nova Shield	10% Chance to Cast Level 3 Nova when Struck		18	13	1	44	
Non-class Helms	HELM AND !CLASS		Nova Shield	12% Chance to Cast Level 4 Nova when Struck		28	21	1	44	
Non-class Helms	HELM AND !CLASS		Nova Shield	14% Chance to Cast Level 5 Nova when Struck		38	28	1	44	
Druid Helms	DRU		Craftsmanship	+[1-2] to Maximum Damage		1-7	1	4	14	added Helm
Druid Helms	DRU		Craftsmanship	+[2-3] to Maximum Damage		8-14	6	4	14	added Helm
Druid Helms	DRU		Craftsmanship	+[4-5] to Maximum Damage		15-55	11	4	14	added max alvl, added Helm
Druid Helms	DRU		Quality	+[6-7] to Maximum Damage		23-29	17	4	14	added Helm
Druid Helms	DRU		Quality	+[7-8] to Maximum Damage		30-70	22	4	14	added max alvl, added Helm
Druid Helms	DRU		Maiming	+[9-10] to Maximum Damage	1	37-44	29	4	14	added Helm
Druid Helms	DRU		Maiming	+[11-12] to Maximum Damage	1	45	37	4	14	added Helm
Druid Helms	DRU		Carnage	+[11-14] to Maximum Damage		71	58	2	14	new
Druid Helms	DRU		Worth	+[2-3] to Minimum Damage		15-55	11	4	15	added max alvl, added Helm
Druid Helms	DRU		Measure	+[4-5] to Minimum Damage		37-77	29	4	15	added max alvl, added Helm
Druid Helms	DRU		Excellence	+[6-9] to Minimum Damage		59	51	4	15	added Helm
Druid Helms	DRU		Performance	+[10-13] to Minimum Damage		81	63	2	15	was 1, rlvl was 73, frequency was 4
Druid Helms	DRU	240	Dexterity	+[1-2] to Dexterity		1-41	1	4	17	added max alvl, added Helm
Druid Helms	DRU	241	Skill	+[3-5] to Dexterity		11-51	8	3	17	added max alvl, added Quiver, added Helm
Druid Helms	DRU	242	Accuracy	+[6-9] to Dexterity		27	20	3	17	added Quiver, added Helm
Druid Helms	DRU	243	Precision	+[10-15] to Dexterity		43	35	3	17	added Quiver, added Helm
Druid Helms	DRU	244	Perfection	+[16-20] to Dexterity		59	51	3	17	added Chest, Shield, added Helm
Druid Helms	DRU	245	Nirvana	+[21-30] to Dexterity		72	64	3	17	was 1, added Helm, Chest, Shield
Druid Helms	DRU	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Druid Helms	DRU	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Druid Helms	DRU	263	Equilibrium	+17% Faster Hit Recovery		9	6	4	18	added Helm
Druid Helms	DRU	264	Stability	+24% Faster Hit Recovery		18	13	4	18	added Helm, Shield
Druid Helms	DRU		Chance	[5-15]% Better Chance of Getting Magic Items		12	9	4	22	added Helm, Quiver
Druid Helms	DRU		Fortune	[16-25]% Better Chance of Getting Magic Items		16	12	4	22	added Helm, Quiver
Druid Helms	DRU	740	Energy	+1 to Energy		1-4	1	4	23	
Druid Helms	DRU	293	Energy	+[1-3] to Energy		1-41	1	4	23	added max alvl, added Helm, Chest
Druid Helms	DRU	304	Energy	+[1-3] to Energy		4-44	3	3	23	added max alvl
Druid Helms	DRU	294	Mind	+[4-6] to Energy		7-47	3	4	23	added max alvl, removed Amulet, added Quiver, added Helm, Chest
Druid Helms	DRU	305	Mind	+[4-6] to Energy		10-50	7	3	23	added max alvl
Druid Helms	DRU	295	Brilliance	+[7-10] to Energy		13	9	3	23	added Quiver, added Helm
Druid Helms	DRU	306	Brilliance	+[7-10] to Energy	1	16	12	3	23	
Druid Helms	DRU	296	Sorcery	+[11-15] to Energy		21	16	3	23	added Quiver, added Helm
Druid Helms	DRU	307	Sorcery	+[11-15] to Energy		26	21	3	23	
Druid Helms	DRU	297	Wizardry	+[16-20] to Energy		31	23	3	23	added Helm, Chest
Druid Helms	DRU	298	Enlightenment	+[21-30] to Energy		41	33	3	23	was 1, added Helm, Chest
Druid Helms	DRU		Light	+1 to Light Radius, +[15-30] to Attack Rating		6-46	4	1	25	added max alvl, added Quiver, AR was 15
Druid Helms	DRU		Radiance	+3 to Light Radius, +[30-60] to Attack Rating		15-55	11	1	25	split off Ring, Amulet, added max alvl, added Chest, Quiver, AR was 30
Druid Helms	DRU		Clarity	+4 to Light Radius, +[60-120] to Attack Rating		25	21	1	25	new
Druid Helms	DRU	312	Sun	+5 to Light Radius, [10-20]% Bonus to Attack Rating		17	12	1	25	added Chest, increased AR% values
Druid Helms	DRU	824	Sunset	+5 to Light Radius, 10% Bonus to Attack Rating		27	22	1	25	new
Druid Helms	DRU	855	Sunset	+[5-8] to Light Radius, 10% Bonus to Attack Rating		34	26	1	25	new
Druid Helms	DRU		Jackal	+[1-5] to Life		4-44	3	3	26	added max alvl
Druid Helms	DRU		Jackal	+[1-5] to Life		8-48	6	3	26	added max alvl
Druid Helms	DRU		Fox	+[6-10] to Life		11-55	8	3	26	added max alvl
Druid Helms	DRU		Fox	+[6-10] to Life		17-57	13	3	26	split off Ring, added max alvl
Druid Helms	DRU		Wolf	+[11-20] to Life		27-67	20	3	26	added max alvl
Druid Helms	DRU		Wolf	+[11-20] to Life		34-74	26	3	26	split off Ring, added max alvl
Druid Helms	DRU		Tiger	+[21-30] to Life		43	35	3	26	
Druid Helms	DRU		Tiger	+[21-30] to Life		51	43	3	26	
Druid Helms	DRU		Mammoth	+[31-40] to Life		59	51	3	26	
Druid Helms	DRU		Mammoth	+[31-40] to Life		68	60	3	26	
Druid Helms	DRU		Colossus	+[41-60] to Life		75	67	3	26	was 1
Druid Helms	DRU		Leech	[3-4]% Life Stolen per Hit		14	10	4	27	added Helm
Druid Helms	DRU	356	Locust	[5-6]% Life Stolen per Hit		47	35	4	27	added Helm
Druid Helms	DRU		Bat	[3-4]% Mana Stolen per Hit		15	11	4	28	added Helm
Druid Helms	DRU	363	Wraith	[5-6]% Mana Stolen per Hit		58	40	4	28	added Helm
Druid Helms	DRU		Remedy	Poison Length Reduced by 25%		7	5	3	29	added Quiver
Druid Helms	DRU	372	Strength	+[1-2] to Strength		1-41	1	4	31	added max alvl, added Helm
Druid Helms	DRU	373	Might	+[3-5] to Strength		10-50	8	3	31	split off Amulet, addex max alvl, added Quiver, added Helm
Druid Helms	DRU	374	Ox	+[6-9] to Strength		26	19	3	31	added Quiver, added Helm
Druid Helms	DRU	375	Giant	+[10-15] to Strength		42	34	3	31	added Quiver, added Helm
Druid Helms	DRU	376	Titan	+[16-20] to Strength		58	50	3	31	added Helm
Druid Helms	DRU	377	Atlas	+[21-30] to Strength		71	63	3	31	added Helmet & Shield
Druid Helms	DRU		Self-Repair	Repairs 1 Durability in 33 seconds		3	1	3	37	
Druid Helms	DRU		Fast Repair	Repairs 1 Durability in 20 seconds		20	12	2	37	
Druid Helms	DRU		Ages	Indestructible	1	50	42	1	39	
Druid Helms	DRU		Centaur	+[0-74] to Life (+0.75 per Level)		20	1	1	41	split off Amulet, was 1, added Shield
Druid Helms	DRU		Mnemonic	+[0-74] to Mana (+0.75 per Level)		20	1	1	41	was 1
Druid Helms	DRU		Elephant	+[0-49] to Life (+0.5 per Level), +[0-24] to Mana (+0.25 per Level)		37	7	2	41	was 1
Druid Helms	DRU		Charged Shield	10% Chance to Cast Level 3 Charged Bolt when Struck		6	4	1	44	
Druid Helms	DRU		Charged Shield	12% Chance to Cast Level 4 Charged Bolt when Struck		16	12	1	44	
Druid Helms	DRU		Charged Shield	14% Chance to Cast Level 5 Charged Bolt when Struck		26	19	1	44	
Druid Helms	DRU		Frost Shield	5% Chance to Cast Level 3 Frost Nova when Struck		12	9	1	44	
Druid Helms	DRU		Nova Shield	10% Chance to Cast Level 3 Nova when Struck		18	13	1	44	
Druid Helms	DRU		Nova Shield	12% Chance to Cast Level 4 Nova when Struck		28	21	1	44	
Druid Helms	DRU		Nova Shield	14% Chance to Cast Level 5 Nova when Struck		38	28	1	44	
Barbarian Helms	BAR		Craftsmanship	+[1-2] to Maximum Damage		1-7	1	4	14	added Helm
Barbarian Helms	BAR		Craftsmanship	+[2-3] to Maximum Damage		8-14	6	4	14	added Helm
Barbarian Helms	BAR		Craftsmanship	+[4-5] to Maximum Damage		15-55	11	4	14	added max alvl, added Helm
Barbarian Helms	BAR		Quality	+[6-7] to Maximum Damage		23-29	17	4	14	added Helm
Barbarian Helms	BAR		Quality	+[7-8] to Maximum Damage		30-70	22	4	14	added max alvl, added Helm
Barbarian Helms	BAR		Maiming	+[9-10] to Maximum Damage	1	37-44	29	4	14	added Helm
Barbarian Helms	BAR		Maiming	+[11-12] to Maximum Damage	1	45	37	4	14	added Helm
Barbarian Helms	BAR		Carnage	+[11-14] to Maximum Damage		71	58	2	14	new
Barbarian Helms	BAR		Worth	+[2-3] to Minimum Damage		15-55	11	4	15	added max alvl, added Helm
Barbarian Helms	BAR		Measure	+[4-5] to Minimum Damage		37-77	29	4	15	added max alvl, added Helm
Barbarian Helms	BAR		Excellence	+[6-9] to Minimum Damage		59	51	4	15	added Helm
Barbarian Helms	BAR		Performance	+[10-13] to Minimum Damage		81	63	2	15	was 1, rlvl was 73, frequency was 4
Barbarian Helms	BAR	240	Dexterity	+[1-2] to Dexterity		1-41	1	4	17	added max alvl, added Helm
Barbarian Helms	BAR	241	Skill	+[3-5] to Dexterity		11-51	8	3	17	added max alvl, added Quiver, added Helm
Barbarian Helms	BAR	242	Accuracy	+[6-9] to Dexterity		27	20	3	17	added Quiver, added Helm
Barbarian Helms	BAR	243	Precision	+[10-15] to Dexterity		43	35	3	17	added Quiver, added Helm
Barbarian Helms	BAR	244	Perfection	+[16-20] to Dexterity		59	51	3	17	added Chest, Shield, added Helm
Barbarian Helms	BAR	245	Nirvana	+[21-30] to Dexterity		72	64	3	17	was 1, added Helm, Chest, Shield
Barbarian Helms	BAR	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Barbarian Helms	BAR	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Barbarian Helms	BAR	263	Equilibrium	+17% Faster Hit Recovery		9	6	4	18	added Helm
Barbarian Helms	BAR	264	Stability	+24% Faster Hit Recovery		18	13	4	18	added Helm, Shield
Barbarian Helms	BAR		Chance	[5-15]% Better Chance of Getting Magic Items		12	9	4	22	added Helm, Quiver
Barbarian Helms	BAR		Fortune	[16-25]% Better Chance of Getting Magic Items		16	12	4	22	added Helm, Quiver
Barbarian Helms	BAR	740	Energy	+1 to Energy		1-4	1	4	23	
Barbarian Helms	BAR	293	Energy	+[1-3] to Energy		1-41	1	4	23	added max alvl, added Helm, Chest
Barbarian Helms	BAR	304	Energy	+[1-3] to Energy		4-44	3	3	23	added max alvl
Barbarian Helms	BAR	294	Mind	+[4-6] to Energy		7-47	3	4	23	added max alvl, removed Amulet, added Quiver, added Helm, Chest
Barbarian Helms	BAR	305	Mind	+[4-6] to Energy		10-50	7	3	23	added max alvl
Barbarian Helms	BAR	295	Brilliance	+[7-10] to Energy		13	9	3	23	added Quiver, added Helm
Barbarian Helms	BAR	306	Brilliance	+[7-10] to Energy	1	16	12	3	23	
Barbarian Helms	BAR	296	Sorcery	+[11-15] to Energy		21	16	3	23	added Quiver, added Helm
Barbarian Helms	BAR	307	Sorcery	+[11-15] to Energy		26	21	3	23	
Barbarian Helms	BAR	297	Wizardry	+[16-20] to Energy		31	23	3	23	added Helm, Chest
Barbarian Helms	BAR	298	Enlightenment	+[21-30] to Energy		41	33	3	23	was 1, added Helm, Chest
Barbarian Helms	BAR		Light	+1 to Light Radius, +[15-30] to Attack Rating		6-46	4	1	25	added max alvl, added Quiver, AR was 15
Barbarian Helms	BAR		Radiance	+3 to Light Radius, +[30-60] to Attack Rating		15-55	11	1	25	split off Ring, Amulet, added max alvl, added Chest, Quiver, AR was 30
Barbarian Helms	BAR		Clarity	+4 to Light Radius, +[60-120] to Attack Rating		25	21	1	25	new
Barbarian Helms	BAR	312	Sun	+5 to Light Radius, [10-20]% Bonus to Attack Rating		17	12	1	25	added Chest, increased AR% values
Barbarian Helms	BAR	824	Sunset	+5 to Light Radius, 10% Bonus to Attack Rating		27	22	1	25	new
Barbarian Helms	BAR	855	Sunset	+[5-8] to Light Radius, 10% Bonus to Attack Rating		34	26	1	25	new
Barbarian Helms	BAR		Jackal	+[1-5] to Life		1-41	1	3	26	added max alvl
Barbarian Helms	BAR		Jackal	+[1-5] to Life		8-48	6	3	26	added max alvl
Barbarian Helms	BAR		Fox	+[6-10] to Life		7-47	5	3	26	added max alvl, added Quiver
Barbarian Helms	BAR		Fox	+[6-10] to Life		17-57	13	3	26	split off Ring, added max alvl
Barbarian Helms	BAR		Wolf	+[11-20] to Life		15-55	11	3	26	split off Amulet, Belt, added max alvl, added Quiver
Barbarian Helms	BAR		Wolf	+[11-20] to Life		34-74	26	3	26	split off Ring, added max alvl
Barbarian Helms	BAR		Tiger	+[21-30] to Life		20	15	3	26	added Quiver
Barbarian Helms	BAR		Tiger	+[21-30] to Life		51	43	3	26	
Barbarian Helms	BAR		Mammoth	+[31-40] to Life		25	18	3	26	added Quiver
Barbarian Helms	BAR		Mammoth	+[31-40] to Life		68	60	3	26	
Barbarian Helms	BAR		Colossus	+[41-60] to Life		30	22	3	26	
Barbarian Helms	BAR		Squid	+[61-80] to Life		40	30	3	26	split off Amulet, was 1
Barbarian Helms	BAR		Whale	+[81-100] to Life		50	37	3	26	split off Amulet, was 1
Barbarian Helms	BAR		Leech	[3-4]% Life Stolen per Hit		14	10	4	27	added Helm
Barbarian Helms	BAR	356	Locust	[5-6]% Life Stolen per Hit		47	35	4	27	added Helm
Barbarian Helms	BAR		Bat	[3-4]% Mana Stolen per Hit		15	11	4	28	added Helm
Barbarian Helms	BAR	363	Wraith	[5-6]% Mana Stolen per Hit		58	40	4	28	added Helm
Barbarian Helms	BAR		Remedy	Poison Length Reduced by 25%		7	5	3	29	added Quiver
Barbarian Helms	BAR	372	Strength	+[1-2] to Strength		1-41	1	4	31	added max alvl, added Helm
Barbarian Helms	BAR	373	Might	+[3-5] to Strength		10-50	8	3	31	split off Amulet, addex max alvl, added Quiver, added Helm
Barbarian Helms	BAR	374	Ox	+[6-9] to Strength		26	19	3	31	added Quiver, added Helm
Barbarian Helms	BAR	375	Giant	+[10-15] to Strength		42	34	3	31	added Quiver, added Helm
Barbarian Helms	BAR	376	Titan	+[16-20] to Strength		58	50	3	31	added Helm
Barbarian Helms	BAR	377	Atlas	+[21-30] to Strength		71	63	3	31	added Helmet & Shield
Barbarian Helms	BAR		Self-Repair	Repairs 1 Durability in 33 seconds		3	1	3	37	
Barbarian Helms	BAR		Fast Repair	Repairs 1 Durability in 20 seconds		20	12	2	37	
Barbarian Helms	BAR		Ages	Indestructible	1	50	42	1	39	
Barbarian Helms	BAR		Centaur	+[0-74] to Life (+0.75 per Level)		20	1	1	41	split off Amulet, was 1, added Shield
Barbarian Helms	BAR		Charged Shield	10% Chance to Cast Level 3 Charged Bolt when Struck		6	4	1	44	
Barbarian Helms	BAR		Charged Shield	12% Chance to Cast Level 4 Charged Bolt when Struck		16	12	1	44	
Barbarian Helms	BAR		Charged Shield	14% Chance to Cast Level 5 Charged Bolt when Struck		26	19	1	44	
Barbarian Helms	BAR		Frost Shield	5% Chance to Cast Level 3 Frost Nova when Struck		12	9	1	44	
Barbarian Helms	BAR		Nova Shield	10% Chance to Cast Level 3 Nova when Struck		18	13	1	44	
Barbarian Helms	BAR		Nova Shield	12% Chance to Cast Level 4 Nova when Struck		28	21	1	44	
Barbarian Helms	BAR		Nova Shield	14% Chance to Cast Level 5 Nova when Struck		38	28	1	44	
Chests	CHEST	115	Health	Physical Damage Taken Reduced by 1		7-47	5	4	1	added max alvl, added Quiver
Chests	CHEST	120	Protection	Physical Damage Taken Reduced by 2		24-64	18	4	1	added max alvl
Chests	CHEST	121	Absorption	Physical Damage Taken Reduced by 3		32-72	24	4	1	added max alvl, added Ring
Chests	CHEST	122	Life	Physical Damage Taken Reduced by [4-7]		41	33	4	1	added Ring
Chests	CHEST	123	Amicae	Physical Damage Taken Reduced by [8-15]		51	43	4	1	was 1, added Amulet
Chests	CHEST	979	Life Everlasting	Physical Damage Taken Reduced by [10-25]		45	37	4	1	new
Chests	CHEST	124	Warding	Magic Damage Taken Reduced by [1-2]		7-47	5	4	2	added max alvl, added Quiver, reduction was 1
Chests	CHEST	128	Sentinel	Magic Damage Taken Reduced by [2-4]		24-64	18	4	2	reduction was 2, added max alvl
Chests	CHEST	129	Guarding	Magic Damage Taken Reduced by [3-6]		32	24	4	2	added Ring, reduction was 3
Chests	CHEST	130	Negation	Magic Damage Taken Reduced by [8-12]	1	41	33	4	2	reduction was [4-6]
Chests	CHEST	980	Fortification	Magic Damage Taken Reduced by [12-16]	1	61	53	3	2	new
Chests	CHEST		Thorns	Attacker Takes Damage of 1		1-13	1	4	6	
Chests	CHEST		Thorns	Attacker Takes Damage of [3-6]		14-54	10	4	6	added max alvl, damage was [1-3]
Chests	CHEST		Spikes	Attacker Takes Damage of [8-12]		21-61	15	4	6	added max alvl, damage was [4-6]
Chests	CHEST		Razors	Attacker Takes Damage of [31-40]		34-74	26	4	6	added max alvl, damage was [7-9]
Chests	CHEST		Swords	Attacker Takes Damage of [80-160]		47	39	4	6	was 1, damage was [10-20]
Chests	CHEST		Swords	Attacker Takes Damage of [200-400]		67	50	4	6	new
Chests	CHEST	816	Apprentice	+10% Faster Cast Rate		17	20	4	9	new
Chests	CHEST	818	Magus	+20% Faster Cast Rate		25	29	2	9	new
Chests	CHEST	251	Dexterity	+[2-3] to Dexterity		13-53	9	3	17	added max alvl
Chests	CHEST	252	Skill	+[4-5] to Dexterity		34-74	26	3	17	added max alvl, removed Boots
Chests	CHEST	253	Accuracy	+[6-9] to Dexterity		46	38	3	17	
Chests	CHEST	254	Precision	+[10-15] to Dexterity		60	52	3	17	was 1, added Shield
Chests	CHEST	244	Perfection	+[16-20] to Dexterity		59	51	3	17	added Chest, Shield, added Helm
Chests	CHEST	245	Nirvana	+[21-30] to Dexterity		72	64	3	17	was 1, added Helm, Chest, Shield
Chests	CHEST	262	Balance	+10% Faster Hit Recovery		5-45	3	4	18	added Helm, Shield, added max alvl
Chests	CHEST	263	Equilibrium	+17% Faster Hit Recovery		9	6	4	18	added Helm
Chests	CHEST	264	Stability	+24% Faster Hit Recovery		18	13	4	18	added Helm, Shield
Chests	CHEST	271	Regeneration	Replenish Life +[6-10]		70	52	4	19	doubled vlaues
Chests	CHEST	293	Energy	+[1-3] to Energy		1-41	1	4	23	added max alvl, added Helm, Chest
Chests	CHEST	294	Mind	+[4-6] to Energy		7-47	3	4	23	added max alvl, removed Amulet, added Quiver, added Helm, Chest
Chests	CHEST	985	Brilliance	+[7-10] to Energy		13	9	3	23	new (other Brilliance modifier had to many sources)
Chests	CHEST	986	Sorcery	+[11-15] to Energy		21	16	3	23	new (other Sorcery modifier had to many sources)
Chests	CHEST	297	Wizardry	+[16-20] to Energy		31	23	3	23	added Helm, Chest
Chests	CHEST	298	Enlightenment	+[21-30] to Energy		41	33	3	23	was 1, added Helm, Chest
Chests	CHEST		Light	+1 to Light Radius, +[15-30] to Attack Rating		6-46	4	1	25	added max alvl, added Quiver, AR was 15
Chests	CHEST		Radiance	+3 to Light Radius, +[30-60] to Attack Rating		15-55	11	1	25	split off Ring, Amulet, added max alvl, added Chest, Quiver, AR was 30
Chests	CHEST		Clarity	+4 to Light Radius, +[60-120] to Attack Rating		25	21	1	25	new
Chests	CHEST		Divinity	+5 to Light Radius, +[120-240] to Attack Rating		50	42	1	25	new
Chests	CHEST	312	Sun	+5 to Light Radius, [10-20]% Bonus to Attack Rating		17	12	1	25	added Chest, increased AR% values
Chests	CHEST	824	Sunset	+5 to Light Radius, 10% Bonus to Attack Rating		27	22	1	25	new
Chests	CHEST	855	Sunset	+[5-8] to Light Radius, 10% Bonus to Attack Rating		34	26	1	25	new
Chests	CHEST		Jackal	+[1-5] to Life		1-41	1	3	26	added max alvl
Chests	CHEST		Fox	+[6-10] to Life		7-47	5	3	26	added max alvl, added Quiver
Chests	CHEST		Wolf	+[11-20] to Life		15-55	11	3	26	split off Amulet, Belt, added max alvl, added Quiver
Chests	CHEST		Tiger	+[21-30] to Life		20	15	3	26	added Quiver
Chests	CHEST		Mammoth	+[31-40] to Life		25	18	3	26	added Quiver
