Item Type	Filter Code	ID	Affix	Attributes	Magic Only	alvl	rlvl	freq	group	Changes
Non-class Helms	HELM AND !CLASS		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Non-class Helms	HELM AND !CLASS		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Non-class Helms	HELM AND !CLASS		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Non-class Helms	HELM AND !CLASS	394	Amber	Lightning Resist +[31-40]%		25	18	3	119	added Chest, Helm & Shield
Non-class Helms	HELM AND !CLASS		Beryl	Poison Resist +5%		1-4	1	3	120	
Non-class Helms	HELM AND !CLASS		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Non-class Helms	HELM AND !CLASS		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Non-class Helms	HELM AND !CLASS		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Non-class Helms	HELM AND !CLASS	414	Emerald	Poison Resist +[31-40]%		25	18	3	120	added Chest, Helm & Shield
Non-class Helms	HELM AND !CLASS		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Non-class Helms	HELM AND !CLASS		Aureolic	+[1-3] to Mana after each Kill		12	9	4	121	new*
Non-class Helms	HELM AND !CLASS		Victorious	+[2-5] to Mana after each Kill		17	12	4	121	added Chest, Helm, Shield, Quiver
Non-class Helms	HELM AND !CLASS		Mechanist's	Socketed ([1-2])		10	7	3	122	
Non-class Helms	HELM AND !CLASS		Artisan's	Socketed (3)	1	33	25	2	122	new
Non-class Helms	HELM AND !CLASS		Artisan's	Socketed (3)	1	33	25	2	122	
Non-class Helms	HELM AND !CLASS		Jeweler's	Socketed (4)	1	55	47	1	122	
Non-class Helms	HELM AND !CLASS		Arcadian	+[51-100] to Attack Rating against Demons, +[26-50]% Damage to Demons		15-55	11	2	123	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS		Maiden's	+1 to Amazon Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Angel's	+1 to Sorceress Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Summoner's	+1 to Necromancer Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Monk's	+1 to Paladin Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Slayer's	+1 to Barbarian Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Expert's	+1 to Combat Skills (Barbarian Only)		20	15	1	125	removed Knife
Non-class Helms	HELM AND !CLASS		Veteran's	+2 to Combat Skills (Barbarian Only)		40	30	1	125	removed Knife
Non-class Helms	HELM AND !CLASS		Master's	+3 to Combat Skills (Barbarian Only)	1	60	45	1	125	removed Knife
Non-class Helms	HELM AND !CLASS		Shaman's	+1 to Druid Skill Levels		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Magekiller's	+1 to Assassin Skills		36	27	1	125	new
Non-class Helms	HELM AND !CLASS		Mentalist's	+1 to Shadow Disciplines (Assassin Only)		20	15	1	125	added Dagger
Non-class Helms	HELM AND !CLASS		Psychic	+2 to Shadow Disciplines (Assassin Only)		40	30	1	125	added Dagger
Non-class Helms	HELM AND !CLASS		Shadow	+3 to Shadow Disciplines (Assassin Only)	1	60	45	1	125	added Dagger
Non-class Helms	HELM AND !CLASS		Blood Letting	+1 Life after each Kill		13-53	12	3	200	new
Non-class Helms	HELM AND !CLASS		Murderous	+[2-5] Life after each Kill		51	44	1	200	new
Non-class Helms	HELM AND !CLASS		Blood Sucking	+[1-3] Life after each Kill		32	26	2	200	new
Druid Helms	DRU	143/144	Sturdy	+[20-30]% Enhanced Defense		1-41	3	14	101	added max alvl, increased frequency
Druid Helms	DRU	145	Strong	+[31-40]% Enhanced Defense		9-49	6	12	101	added max alvl, increased frequency
Druid Helms	DRU	146	Glorious	+[41-50]% Enhanced Defense		19-59	14	12	101	added max alvl, increased frequency
Druid Helms	DRU	147	Blessed	+[51-65]% Enhanced Defense		25	18	11	101	increased frequency
Druid Helms	DRU	148	Saintly	+[66-80]% Enhanced Defense		31	23	11	101	increased frequency
Druid Helms	DRU	149	Holy	+[81-100]% Enhanced Defense		36	27	9	101	increased frequency
Druid Helms	DRU	150	Godly	+[101-200]% Enhanced Defense		45	38	6	101	was 1, increased frequency
Druid Helms	DRU	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Druid Helms	DRU	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Druid Helms	DRU	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Druid Helms	DRU	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Druid Helms	DRU	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Druid Helms	DRU	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Druid Helms	DRU		Visionary	[1-99]% Bonus to Attack Rating (1% per Level)		25	18	1	111	
Druid Helms	DRU	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Druid Helms	DRU	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Druid Helms	DRU		Felicitous	[5-10]% Better Chance of Getting Magic Items		5	3	4	114	added Helm
Druid Helms	DRU		Fortuitous	[11-15]% Better Chance of Getting Magic Items		12	8	4	114	was 1, added Helm
Druid Helms	DRU		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Druid Helms	DRU		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Druid Helms	DRU	540	Mnemonic	+[0-74] to Mana (+0.75 per Level)		25	18	1	115	
Druid Helms	DRU	328	Shimmering	All Resistances +[3-7]		8-48	6	5	116	added max alvl, added Helm
Druid Helms	DRU	329	Rainbow	All Resistances +[8-11]		21	15	5	116	added Helm
Druid Helms	DRU	330	Scintillating	All Resistances +[12-15]		34	25	5	116	added Quiver & Helm
Druid Helms	DRU	327	Chromatic	All Resistances +[21-30]		50	42	4	116	was 1, added Chest & Helm
Druid Helms	DRU		Azure	Cold Resist +5%		1-4	1	3	117	
Druid Helms	DRU		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Druid Helms	DRU		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Druid Helms	DRU		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Druid Helms	DRU	355	Sapphire	Cold Resist +[31-40]%		25	18	3	117	added Chest, Helm & Shield
Druid Helms	DRU		Crimson	Fire Resist +5%		1-4	1	3	118	
Druid Helms	DRU		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Druid Helms	DRU		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Druid Helms	DRU		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Druid Helms	DRU	374	Ruby	Fire Resist +[31-40]%		25	18	3	118	added Chest, Helm & Shield
Druid Helms	DRU		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Druid Helms	DRU		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Druid Helms	DRU		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Druid Helms	DRU		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Druid Helms	DRU	394	Amber	Lightning Resist +[31-40]%		25	18	3	119	added Chest, Helm & Shield
Druid Helms	DRU		Beryl	Poison Resist +5%		1-4	1	3	120	
Druid Helms	DRU		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Druid Helms	DRU		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Druid Helms	DRU		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Druid Helms	DRU	414	Emerald	Poison Resist +[31-40]%		25	18	3	120	added Chest, Helm & Shield
Druid Helms	DRU		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Druid Helms	DRU		Aureolic	+[1-3] to Mana after each Kill		12	9	4	121	new*
Druid Helms	DRU		Victorious	+[2-5] to Mana after each Kill		17	12	4	121	added Chest, Helm, Shield, Quiver
Druid Helms	DRU		Mechanist's	Socketed ([1-2])		10	7	3	122	
Druid Helms	DRU		Artisan's	Socketed (3)	1	33	25	2	122	new
Druid Helms	DRU		Artisan's	Socketed (3)	1	33	25	2	122	
Druid Helms	DRU		Jeweler's	Socketed (4)	1	55	47	1	122	
Druid Helms	DRU		Arcadian	+[51-100] to Attack Rating against Demons, +[26-50]% Damage to Demons		15-55	11	2	123	added max alvl, added Helm
Druid Helms	DRU		Shaman's	+1 to Druid Skill Levels		36	27	1	125	new
Druid Helms	DRU		Shaman's	+1 to Druid Skill Levels		30	22	4	125	
Druid Helms	DRU		Hierophant's	+2 to Druid Skill Levels		50	42	2	125	
Druid Helms	DRU		Trainer's	+1 to Summoning Skills (Druid Only)		20	15	1	125	
Druid Helms	DRU		Caretaker's	+2 to Summoning Skills (Druid Only)		40	30	1	125	
Druid Helms	DRU		Keeper's	+3 to Summoning Skills (Druid Only)	1	60	45	1	125	
Druid Helms	DRU		Spiritual	+1 to Shape Shifting Skills (Druid Only)		20	15	1	125	
Druid Helms	DRU		Feral	+2 to Shape Shifting Skills (Druid Only)		40	30	1	125	
Druid Helms	DRU		Communal	+3 to Shape Shifting Skills (Druid Only)	1	60	45	1	125	
Druid Helms	DRU		Nature's	+1 to Elemental Skills (Druid Only)		20	15	1	125	
Druid Helms	DRU		Terra's	+2 to Elemental Skills (Druid Only)		40	30	1	125	
Druid Helms	DRU		Gaea's	+3 to Elemental Skills (Druid Only)	1	60	45	1	125	
Druid Helms	DRU		Blood Letting	+1 Life after each Kill		13-53	12	3	200	new
Druid Helms	DRU		Murderous	+[2-5] Life after each Kill		51	44	1	200	new
Druid Helms	DRU		Blood Sucking	+[1-3] Life after each Kill		32	26	2	200	new
Druid Helms	DRU	822	Sizzling	-[2-4] to Enemy Fire Resistance		10-29	8	2	171	new
Druid Helms	DRU	823	Singeing	-[4-6] to Enemy Fire Resistance		30-59	26	2	171	new
Druid Helms	DRU	824	Infernal	-[6-10] to Enemy Fire Resistance		60	53	2	171	new
Druid Helms	DRU	825	Frigid	-[2-4] to Enemy Cold Resistance		10-29	8	2	171	new
Druid Helms	DRU	826	Frostbitten	-[4-6] to Enemy Cold Resistance		30-59	26	2	171	new
Druid Helms	DRU	827	Subzero	-[6-10] to Enemy Cold Resistance		60	53	2	171	new
Barbarian Helms	BAR	143/144	Sturdy	+[20-30]% Enhanced Defense		1-41	3	14	101	added max alvl, increased frequency
Barbarian Helms	BAR	145	Strong	+[31-40]% Enhanced Defense		9-49	6	12	101	added max alvl, increased frequency
Barbarian Helms	BAR	146	Glorious	+[41-50]% Enhanced Defense		19-59	14	12	101	added max alvl, increased frequency
Barbarian Helms	BAR	147	Blessed	+[51-65]% Enhanced Defense		25	18	11	101	increased frequency
Barbarian Helms	BAR	148	Saintly	+[66-80]% Enhanced Defense		31	23	11	101	increased frequency
Barbarian Helms	BAR	149	Holy	+[81-100]% Enhanced Defense		36	27	9	101	increased frequency
Barbarian Helms	BAR	150	Godly	+[101-200]% Enhanced Defense		45	38	6	101	was 1, increased frequency
Barbarian Helms	BAR	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Barbarian Helms	BAR	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Barbarian Helms	BAR	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Barbarian Helms	BAR	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Barbarian Helms	BAR	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Barbarian Helms	BAR	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Barbarian Helms	BAR		Visionary	[1-99]% Bonus to Attack Rating (1% per Level)		25	18	1	111	
Barbarian Helms	BAR	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Barbarian Helms	BAR	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Barbarian Helms	BAR		Felicitous	[5-10]% Better Chance of Getting Magic Items		5	3	4	114	added Helm
Barbarian Helms	BAR		Fortuitous	[11-15]% Better Chance of Getting Magic Items		12	8	4	114	was 1, added Helm
Barbarian Helms	BAR		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Barbarian Helms	BAR		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Barbarian Helms	BAR	540	Mnemonic	+[0-74] to Mana (+0.75 per Level)		25	18	1	115	
Barbarian Helms	BAR	328	Shimmering	All Resistances +[3-7]		8-48	6	5	116	added max alvl, added Helm
Barbarian Helms	BAR	329	Rainbow	All Resistances +[8-11]		21	15	5	116	added Helm
Barbarian Helms	BAR	330	Scintillating	All Resistances +[12-15]		34	25	5	116	added Quiver & Helm
Barbarian Helms	BAR	327	Chromatic	All Resistances +[21-30]		50	42	4	116	was 1, added Chest & Helm
Barbarian Helms	BAR		Azure	Cold Resist +5%		1-4	1	3	117	
Barbarian Helms	BAR		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Barbarian Helms	BAR		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Barbarian Helms	BAR		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Barbarian Helms	BAR	355	Sapphire	Cold Resist +[31-40]%		25	18	3	117	added Chest, Helm & Shield
Barbarian Helms	BAR		Crimson	Fire Resist +5%		1-4	1	3	118	
Barbarian Helms	BAR		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Barbarian Helms	BAR		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Barbarian Helms	BAR		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Barbarian Helms	BAR	374	Ruby	Fire Resist +[31-40]%		25	18	3	118	added Chest, Helm & Shield
Barbarian Helms	BAR		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Barbarian Helms	BAR		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Barbarian Helms	BAR		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Barbarian Helms	BAR		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Barbarian Helms	BAR	394	Amber	Lightning Resist +[31-40]%		25	18	3	119	added Chest, Helm & Shield
Barbarian Helms	BAR		Beryl	Poison Resist +5%		1-4	1	3	120	
Barbarian Helms	BAR		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Barbarian Helms	BAR		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Barbarian Helms	BAR		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Barbarian Helms	BAR	414	Emerald	Poison Resist +[31-40]%		25	18	3	120	added Chest, Helm & Shield
Barbarian Helms	BAR		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Barbarian Helms	BAR		Aureolic	+[1-3] to Mana after each Kill		12	9	4	121	new*
Barbarian Helms	BAR		Victorious	+[2-5] to Mana after each Kill		17	12	4	121	added Chest, Helm, Shield, Quiver
Barbarian Helms	BAR		Mechanist's	Socketed ([1-2])		10	7	3	122	
Barbarian Helms	BAR		Artisan's	Socketed (3)	1	33	25	2	122	new
Barbarian Helms	BAR		Artisan's	Socketed (3)	1	33	25	2	122	
Barbarian Helms	BAR		Jeweler's	Socketed (4)	1	55	47	1	122	
Barbarian Helms	BAR		Arcadian	+[51-100] to Attack Rating against Demons, +[26-50]% Damage to Demons		15-55	11	2	123	added max alvl, added Helm
Barbarian Helms	BAR		Slayer's	+1 to Barbarian Skill Levels		36	27	1	125	new
Barbarian Helms	BAR		Slayer's	+1 to Barbarian Skill Levels		30	22	4	125	
Barbarian Helms	BAR		Berserker's	+2 to Barbarian Skill Levels		50	42	2	125	
Barbarian Helms	BAR		Expert's	+1 to Combat Skills (Barbarian Only)		20	15	1	125	removed Knife
Barbarian Helms	BAR		Veteran's	+2 to Combat Skills (Barbarian Only)		40	30	1	125	removed Knife
Barbarian Helms	BAR		Master's	+3 to Combat Skills (Barbarian Only)	1	60	45	1	125	removed Knife
Barbarian Helms	BAR		Fanatic	+1 to Combat Masteries (Barbarian Only)		20	15	1	125	removed Knife
Barbarian Helms	BAR		Raging	+2 to Combat Masteries (Barbarian Only)		40	30	1	125	removed Knife
Barbarian Helms	BAR		Furious	+3 to Combat Masteries (Barbarian Only)	1	60	45	1	125	removed Knife
Barbarian Helms	BAR		Sounding	+1 to Warcries (Barbarian Only)		20	15	1	125	removed Knife
Barbarian Helms	BAR		Resonant	+2 to Warcries (Barbarian Only)		40	30	1	125	removed Knife
Barbarian Helms	BAR		Echoing	+3 to Warcries (Barbarian Only)	1	60	45	1	125	removed Knife
Barbarian Helms	BAR		Blood Letting	+1 Life after each Kill		13-53	12	3	200	new
Barbarian Helms	BAR		Murderous	+[2-5] Life after each Kill		51	44	1	200	new
Barbarian Helms	BAR		Blood Sucking	+[1-3] Life after each Kill		32	26	2	200	new
Chests	CHEST	143/144	Sturdy	+[20-30]% Enhanced Defense		1-41	3	14	101	added max alvl, increased frequency
Chests	CHEST	145	Strong	+[31-40]% Enhanced Defense		9-49	6	12	101	added max alvl, increased frequency
Chests	CHEST	146	Glorious	+[41-50]% Enhanced Defense		19-59	14	12	101	added max alvl, increased frequency
Chests	CHEST	147	Blessed	+[51-65]% Enhanced Defense		25	18	11	101	increased frequency
Chests	CHEST	148	Saintly	+[66-80]% Enhanced Defense		31	23	11	101	increased frequency
Chests	CHEST	149	Holy	+[81-100]% Enhanced Defense		36	27	9	101	increased frequency
Chests	CHEST	150	Godly	+[101-200]% Enhanced Defense		45	38	6	101	was 1, increased frequency
Chests	CHEST	521	Faithful (Paleoscene)	+[3-297] Defense (+3 per Level)		30	22	4	101	
Chests	CHEST	757	Supporting	+[10-20]% Enhanced Damage		25	18	2	105	new
Chests	CHEST	758	Reinforcing	+[20-40]% Enhanced Damage		35	28	2	105	new
Chests	CHEST	759	Empowering	+[40-60]% Enhanced Damage		45	38	2	105	new
Chests	CHEST	760	Bolstering	+[60-80]% Enhanced Damage		55	48	2	105	new
Chests	CHEST	761	Fortifying	+[80-120]% Enhanced Damage		65	58	2	105	new
Chests	CHEST	762	Embattled	+[120-160]% Enhanced Damage		75	68	2	105	new
Chests	CHEST	763	Rampaging	+[160-200]% Enhanced Damage		85	78	1	105	new
Chests	CHEST	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Chests	CHEST	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Chests	CHEST	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Chests	CHEST	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Chests	CHEST	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Chests	CHEST	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Chests	CHEST	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Chests	CHEST	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Chests	CHEST		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Chests	CHEST		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Chests	CHEST		Serpent's	+[11-20] to Mana		37-77	27	2	115	split off Boots, Gloves, added max alvl
Chests	CHEST	310	Dragon's	+[31-40] to Mana		52	39	2	115	
Chests	CHEST	311	Wyrm's	+[41-60] to Mana		30	22	2	115	added chest & shield
Chests	CHEST	312	Great Wyrm's	+[61-90] to Mana		37	29	2	115	added chest & shield
Chests	CHEST	323	Shimmering	All Resistances +[3-7]		6-46	4	5	116	added max alvl, added Chest
Chests	CHEST	324	Rainbow	All Resistances +[8-11]		18	13	5	116	added Chest
Chests	CHEST	325	Scintillating	All Resistances +[12-15]		28	21	5	116	added Chest
Chests	CHEST	326	Prismatic	All Resistances +[16-20]		39	31	4	116	added Chest
Chests	CHEST	327	Chromatic	All Resistances +[21-30]		50	42	4	116	was 1, added Chest & Helm
Chests	CHEST		Azure	Cold Resist +5%		1-4	1	3	117	
Chests	CHEST		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Chests	CHEST		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Chests	CHEST		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Chests	CHEST	355	Sapphire	Cold Resist +[31-40]%		25	18	3	117	added Chest, Helm & Shield
Chests	CHEST		Crimson	Fire Resist +5%		1-4	1	3	118	
Chests	CHEST		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Chests	CHEST		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Chests	CHEST		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Chests	CHEST	374	Ruby	Fire Resist +[31-40]%		25	18	3	118	added Chest, Helm & Shield
Chests	CHEST		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Chests	CHEST		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Chests	CHEST		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Chests	CHEST		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Chests	CHEST	394	Amber	Lightning Resist +[31-40]%		25	18	3	119	added Chest, Helm & Shield
Chests	CHEST		Beryl	Poison Resist +5%		1-4	1	3	120	
Chests	CHEST		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Chests	CHEST		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Chests	CHEST		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Chests	CHEST	414	Emerald	Poison Resist +[31-40]%		25	18	3	120	added Chest, Helm & Shield
Chests	CHEST		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Chests	CHEST		Aureolic	+[1-3] to Mana after each Kill		12	9	4	121	new*
Chests	CHEST		Victorious	+[2-5] to Mana after each Kill		17	12	4	121	added Chest, Helm, Shield, Quiver
Chests	CHEST		Mechanist's	Socketed ([1-2])		10	7	3	122	
Chests	CHEST		Artisan's	Socketed (3)		33	25	2	122	new
Chests	CHEST		Artisan's	Socketed (3)	1	33	25	2	122	new
Chests	CHEST		Artisan's	Socketed (3)	1	33	25	2	122	
Chests	CHEST		Jeweler's	Socketed (4)	1	55	47	1	122	
Chests	CHEST		Maiden's	+1 to Amazon Skill Levels		36	27	1	125	new
Chests	CHEST		Angel's	+1 to Sorceress Skill Levels		36	27	1	125	new
Chests	CHEST		Summoner's	+1 to Necromancer Skill Levels		36	27	1	125	new
Chests	CHEST		Monk's	+1 to Paladin Skill Levels		36	27	1	125	new
Chests	CHEST		Slayer's	+1 to Barbarian Skill Levels		36	27	1	125	new
