ID	Affix	Attributes	Item Types	Magic Only	alvl	rlvl	freq	group	Changes
127	Negation	Magic Damage Taken Reduced by [8-12]	Amulet, Orb, Circlet, Quiver		42	35	4	2	added Quiver, reduction was [4-6]
980	Fortification	Magic Damage Taken Reduced by [12-16]	Chest, Shield	1	61	53	3	2	new
	Piercing	Ignore Target's Defense	Rod, Knife, Claw		25	18	2	4	
	Thorns	Attacker Takes Damage of 1	Chest, Belt, Shield		1-13	1	4	6	
	Thorns	Attacker Takes Damage of [3-6]	Chest, Shield, Belt, Circlet		14-54	10	4	6	added max alvl, damage was [1-3]
	Spikes	Attacker Takes Damage of [8-12]	Chest, Shield, Belt, Circlet		21-61	15	4	6	added max alvl, damage was [4-6]
	Razors	Attacker Takes Damage of [31-40]	Chest, Shield, Circlet		34-74	26	4	6	added max alvl, damage was [7-9]
	Swords	Attacker Takes Damage of [80-160]	Chest, Shield, Circlet		47	39	4	6	was 1, damage was [10-20]
	Swords	Attacker Takes Damage of [200-400]	Chest, Shield, Circlet		67	50	4	6	new
	Readiness	+10% Increased Attack Speed	WeaponPS, Quiver		5	3	6	7	added Quiver
	Alacrity	+20% Increased Attack Speed	WeaponPS, Quiver		25	17	6	7	added Quiver
	Swiftness	+30% Increased Attack Speed	Melee WeaponP, Missile Weapon		34	26	6	7	added Missile Weapon
	Quickness	+40% Increased Attack Speed	Melee WeaponP, Missile Weapon		46	38	5	7	added Missile Weapon
172	Blocking	10% Increased Chance of Blocking, +15% Faster Block Rate	Shield		1	1	11	8	increased frequency
173	Deflecting	20% Increased Chance of Blocking, +30% Faster Block Rate	Shield		11	8	9	8	increased frequency
	Readiness	+10% Increased Attack Speed	Gloves		20	15	2	9	group was 7
	Alacrity	+20% Increased Attack Speed	Gloves		43	35	4	9	group was 7
174	Apprentice	+10% Faster Cast Rate	Rod, Ring, Amulet, Orb, Circlet, Club		5	3	6	9	added Club
816	Apprentice	+10% Faster Cast Rate	Chest, Shield, Paladin Shield		17	20	4	9	new
817	Apprentice	+10% Faster Cast Rate	Gloves, Belt		25	29	4	9	new
175	Magus	+20% Faster Cast Rate	Rod, Orb, Circlet, Club		29	21	5	9	added Scepter (Rod includes Staff/Wand/Scepter), added Club
818	Magus	+20% Faster Cast Rate	Chest, Shield, Paladin Shield		25	29	2	9	new
978	Archmage	+30% Faster Cast Rate	non-Staff Rods, Orb, Club		49	41	1	9	new
981	Archmage	+40% Faster Cast Rate	Staff		49	41	1	9	new
	Frost	+1 Cold Damage	WeaponP		1-3	1	4	10	
	Frost	Adds 1 to [1-2] Cold Damage (2 second chill)	WeaponPS, Quiver		4-44	3	5	10	added max alvl, added Quiver
	Frost	Adds 1 to [3-6] Cold Damage (2 second chill)	Belt, Amulet		45-85	37	2	10	added max alvl, alvl was 55, rlvl was 41
	Icicle	Adds [3-4] to [12-16] Cold Damage (3 second chill)	WeaponPS, Quiver		13-53	9	4	10	added max alvl, added Quiver, damage was 1 to [3-4]
	Glacier	Adds [14-21] to [45-71] Cold Damage (4 second chill)	WeaponPS, Quiver		27	20	3	10	added Quiver, damage was [2-4] to [4-15]
	Winter	Adds [44-60] to [126-246] Cold Damage (6 second chill)	Melee WeaponPS, Quiver		45	37	2	10	added Quiver, damage was [5-9] to [16-50]
	Hypothermia	Adds [63-118] to [238-365] Cold Damage (6 second chill)	Melee WeaponPS, Quiver		70	53	2	10	new
	Warmth	Half Freeze Duration	Shield, Boots, Gloves, Ring, Amulet, Circlet, Orb		10	7	4	11	
	Flame	+[1-2] Fire Damage	WeaponP		1-3	1	4	12	
	Flame	Adds 1 to [2-5] Fire Damage	WeaponPS, Quiver		4-44	3	5	12	added max alvl, added Quiver
	Flame	Adds 1 to [2-6] Fire Damage	Gloves, Ring, Amulet		40-80	30	2	12	added max alvl
	Fire	Adds [2-8] to [12-22] Fire Damage	WeaponPS, Quiver		15-55	11	4	12	added max alvl, added Quiver, damage was [1-4] to [6-11]
	Burning	Adds [20-30] to [37-72] Fire Damage	WeaponPS, Quiver		25-65	18	3	12	added max alvl, added Quiver, damage was [5-9] to [10-20]
	Incineration	Adds [57-90] to [102-146] Fire Damage	Melee WeaponPS, Quiver		43	35	2	12	added Quiver, damage was [10-20] to [21-75]
	Ashes	Adds [152-214] to [228-302] Fire Damage	Melee WeaponPS, Quiver		70	53	2	12	new
	Shock	+[1-3] Lightning Damage	WeaponP		1-3	1	4	13	
	Shock	Adds 1 to [3-8] Lightning Damage	WeaponPS, Quiver		4-44	3	5	13	added max alvl, added Quiver, damage was 1 to [6-8]
	Shock	Adds 1 to [11-23] Lightning Damage	Boots, Ring, Amulet		45-85	37	2	13	added max alvl, alvl was 50, added Quiver
	Lightning	Adds 1 to [14-24] Lightning Damage	WeaponPS, Quiver		15-55	11	4	13	added max alvl, added Quiver, damage was 1 to [9-16]
	Thunder	Adds 1 to [34-84] Lightning Damage	WeaponPS, Quiver		25	18	3	13	added Quiver, damage was 1 to [17-40]
	Storms	Adds [1-6] to [85-126] Lightning Damage	Melee WeaponPS, Quiver		34	26	2	13	added Quiver, damage was [1-6] to [41-120]
	Maelstrom	Adds [1-6] to [303-403] Lightning Damage	Melee WeaponPS, Quiver		70	53	2	13	new
	Craftsmanship	+1 to Maximum Damage	WeaponP, Ring, Amulet		1-41	1	8	14	added max alvl
	Craftsmanship	+[1-2] to Maximum Damage	Circlet, Helm		1-7	1	4	14	added Helm
	Craftsmanship	+[2-3] to Maximum Damage	Circlet, Helm		8-14	6	4	14	added Helm
	Craftsmanship	+[4-5] to Maximum Damage	Circlet, Helm		15-55	11	4	14	added max alvl, added Helm
	Quality	+2 to Maximum Damage	WeaponP		4-44	3	8	14	added max alvl
	Quality	+[6-7] to Maximum Damage	Circlet, Helm		23-29	17	4	14	added Helm
	Quality	+[7-8] to Maximum Damage	Circlet, Helm		30-70	22	4	14	added max alvl, added Helm
	Maiming	+[3-4] to Maximum Damage	WeaponP		7-47	5	7	14	added max alvl
	Maiming	+[3-4] to Maximum Damage	Shield, Ring, Amulet		42	34	4	14	
	Maiming	+[9-10] to Maximum Damage	Circlet, Helm	1	37-44	29	4	14	added Helm
	Maiming	+[11-12] to Maximum Damage	Circlet, Helm	1	45	37	4	14	added Helm
	Slaying	+[5-7] to Maximum Damage	WeaponP		11-51	8	7	14	added max alvl
	Gore	+[8-10] to Maximum Damage	WeaponP		14	10	6	14	
	Carnage	+[11-14] to Maximum Damage	WeaponP		19	14	6	14	
	Carnage	+[11-14] to Maximum Damage	Ring, Amulet, Circlet, Helm		71	58	2	14	new
	Slaughter	+[15-20] to Maximum Damage	WeaponP		25	18	5	14	
	Butchery	+[21-40] to Maximum Damage	WeaponP		35	27	5	14	was 1
	Evisceration	+[41-63] to Maximum Damage	WeaponP	1	45	37	4	14	
	Evisceration	+[41-63] to Maximum Damage	Missile Weapon		45	37	3	14	new
	Worth	+[1-2] to Minimum Damage	WeaponP		1-41	1	8	15	added max alvl
	Worth	+[2-3] to Minimum Damage	Ring, Amulet, Circlet, Helm		15-55	11	4	15	added max alvl, added Helm
	Measure	+[3-4] to Minimum Damage	WeaponP		12-52	9	7	15	added max alvl
	Measure	+[4-5] to Minimum Damage	Ring, Amulet, Circlet, Helm		37-77	29	4	15	added max alvl, added Helm
	Excellence	+[5-8] to Minimum Damage	WeaponP		24	18	6	15	
	Excellence	+[6-9] to Minimum Damage	Ring, Amulet, Circlet, Helm		59	51	4	15	added Helm
	Performance	+[9-14] to Minimum Damage	WeaponP		48	40	5	15	
	Performance	+[10-13] to Minimum Damage	Ring, Amulet, Circlet, Helm		81	63	2	15	was 1, rlvl was 73, frequency was 4
	Transcendence	+[15-20] to Minimum Damage	WeaponP		76	68	4	15	
	Blight	+1 Poison Damage over 2 seconds	Non-Scepter WeaponP, Wand		1-4	1	4	16	
	Blight	+7 Poison Damage over 3 seconds	Non-Scepter WeaponP, Circlet, Quiver		5-45	3	5	16	added max alvl, added Quiver
	Blight	+50 Poison Damage over 3 seconds	Ring, Amulet		45-85	33	2	16	added max alvl
	Venom	+21 Poison Damage over 4 seconds	Non-Scepter WeaponP, Circlet, Quiver		15-55	11	4	16	added max alvl, added Quiver
	Pestilence	+50 Poison Damage over 5 seconds	Non-Scepter WeaponP, Circlet, Quiver		25	18	3	16	added Quiver
	Anthrax	+100 Poison Damage over 6 seconds	Non-Scepter WeaponP, Quiver		33	25	2	16	added Quiver
730	Dexterity	+1 to Dexterity	Boots, Gloves		1-12	1	4	17	
731	Dexterity	+1 to Dexterity	Ring		1-5	1	4	17	
240	Dexterity	+[1-2] to Dexterity	Amulet, Missile Weapon, Circlet, Helm		1-41	1	4	17	added max alvl, added Helm
246	Dexterity	+[1-2] to Dexterity	Ring, Gloves		6-46	4	4	17	added max alvl
251	Dexterity	+[2-3] to Dexterity	Chest, Boots		13-53	9	3	17	added max alvl
241	Skill	+[3-5] to Dexterity	Amulet, Missile Weapon, Circlet, Quiver, Helm		11-51	8	3	17	added max alvl, added Quiver, added Helm
247	Skill	+[3-5] to Dexterity	Ring, Gloves, Boots		22	16	3	17	added Boots
252	Skill	+[4-5] to Dexterity	Chest		34-74	26	3	17	added max alvl, removed Boots
242	Accuracy	+[6-9] to Dexterity	Amulet, Missile Weapon, Circlet, Quiver, Helm		27	20	3	17	added Quiver, added Helm
248	Accuracy	+[6-9] to Dexterity	Ring, Gloves		39	31	3	17	
253	Accuracy	+[6-9] to Dexterity	Chest, Boots		46	38	3	17	
243	Precision	+[10-15] to Dexterity	Amulet, Missile Weapon, Circlet, Quiver, Helm		43	35	3	17	added Quiver, added Helm
249	Precision	+[10-15] to Dexterity	Ring, Gloves		56	48	3	17	
254	Precision	+[10-15] to Dexterity	Chest, Boots, Shield		60	52	3	17	was 1, added Shield
244	Perfection	+[16-20] to Dexterity	Amulet, Missile Weapon, Circlet, Chest, Shield, Helm		59	51	3	17	added Chest, Shield, added Helm
250	Perfection	+[16-20] to Dexterity	Ring, Gloves	1	75	67	3	17	
245	Nirvana	+[21-30] to Dexterity	Amulet, Missile Weapon, Circlet, Helm, Shield, Chest		72	64	3	17	was 1, added Helm, Chest, Shield
262	Balance	+10% Faster Hit Recovery	Non-Gloves Armor, Helm, Shield		5-45	3	4	18	added Helm, Shield, added max alvl
263	Equilibrium	+17% Faster Hit Recovery	Chest, Belt, Shield, Helm		9	6	4	18	added Helm
264	Stability	+24% Faster Hit Recovery	Chest, Belt, Helm, Shield		18	13	4	18	added Helm, Shield
739	Regeneration	Replenish Life +4	Amulet, Circlet		1-9	1	3	19	doubled vlaues
269	Regeneration	Replenish Life +[6-10]	Scepter, Belt, Ring, Amulet, Circlet		10	7	4	19	doubled vlaues
270	Regeneration	Replenish Life +[6-10]	Shield, Gloves		40	30	4	19	doubled vlaues
271	Regeneration	Replenish Life +[6-10]	Chest, Non-Scepter Weapon, Boots		70	52	4	19	doubled vlaues
272	Regrowth	Replenish Life +[12-20]	Scepter, Amulet, Circlet		17	12	4	19	doubled vlaues
273	Regrowth	Replenish Life +[12-18]	Belt, Ring		55	41	4	19	doubled vlaues
274	Revivification	Replenish Life +[22-30]	Scepter, Amulet, Circlet		38	30	4	19	was 1, doubled vlaues
	Vileness	Prevent Monster Heal	Melee WeaponPS, Quiver		9	6	3	20	added Quiver
	Greed	[25-40]% Extra Gold from Monsters	Ring, Amulet, Circlet, Quiver		1	1	4	21	added Quiver
	Wealth	[41-80]% Extra Gold from Monsters	Boots, Gloves, Belt, Amulet, Circlet, Quiver		17	12	4	21	added Quiver
	Chance	[5-15]% Better Chance of Getting Magic Items	Boots, Gloves, Ring, Amulet, Circlet, Helm, Quiver		12	9	4	22	added Helm, Quiver
	Fortune	[16-25]% Better Chance of Getting Magic Items	Boots, Gloves, Amulet, Circlet, Helm, Quiver		16	12	4	22	added Helm, Quiver
	Fortune	[16-25]% Better Chance of Getting Magic Items	Ring		42	31	2	22	was 1, frequency was 4
	Luck	[26-35]% Better Chance of Getting Magic Items	Boots, Amulet, Circlet, Quiver	1	26	19	4	22	added Quiver
740	Energy	+1 to Energy	Amulet, Orb, Circlet, Wand, Staff, Helm, Ring		1-4	1	4	23	
293	Energy	+[1-3] to Energy	Amulet, Orb, Circlet, Wand, Staff, Helm, Chest		1-41	1	4	23	added max alvl, added Helm, Chest
983	Energy	+[1-3] to Energy	Shield		1-41	1	4	23	new (other Energy modifier had to many sources)
299	Energy	+[1-3] to Energy	Ring		7-47	5	4	23	added max alvl
304	Energy	+[1-3] to Energy	Helm, Scepter		4-44	3	3	23	added max alvl
294	Mind	+[4-6] to Energy	Orb, Circlet, Wand, Staff, Quiver, Helm, Chest		7-47	3	4	23	added max alvl, removed Amulet, added Quiver, added Helm, Chest
984	Mind	+[4-6] to Energy	Shield		7-47	3	4	23	new (other Mind modifier had to many sources)
300	Mind	+[4-6] to Energy	Ring, Amulet		13	9	3	23	added Amulet
305	Mind	+[4-6] to Energy	Helm, Scepter		10-50	7	3	23	added max alvl
295	Brilliance	+[7-10] to Energy	Amulet, Orb, Circlet, Wand, Staff, Quiver, Helm		13	9	3	23	added Quiver, added Helm
985	Brilliance	+[7-10] to Energy	Chest, Shield		13	9	3	23	new (other Brilliance modifier had to many sources)
301	Brilliance	+[7-10] to Energy	Ring		21	16	3	23	
306	Brilliance	+[7-10] to Energy	Helm, Scepter	1	16	12	3	23	
296	Sorcery	+[11-15] to Energy	Amulet, Orb, Circlet, Wand, Staff, Quiver, Helm		21	16	3	23	added Quiver, added Helm
986	Sorcery	+[11-15] to Energy	Chest, Shield		21	16	3	23	new (other Sorcery modifier had to many sources)
302	Sorcery	+[11-15] to Energy	Ring		31	23	3	23	
307	Sorcery	+[11-15] to Energy	Helm, Scepter		26	21	3	23	
297	Wizardry	+[16-20] to Energy	Amulet, Orb, Circlet, Wand, Staff, Helm, Chest		31	23	3	23	added Helm, Chest
987	Wizardry	+[16-20] to Energy	Shield		31	23	3	23	new (other Wizardry modifier had to many sources)
303	Wizardry	+[16-20] to Energy	Ring	1	41	33	3	23	
298	Enlightenment	+[21-30] to Energy	Amulet, Orb, Circlet, Wand, Staff, Helm, Chest		41	33	3	23	was 1, added Helm, Chest
988	Enlightenment	+[21-30] to Energy	Shield		41	33	3	23	new (other Enlightenment modifier had to many sources)
	Bear	Knockback	Melee Weapon		8	6	3	24	
	Bear	Knockback	Quiver		30	24	2	24	new
	Light	+1 to Light Radius, +10 to Attack Rating	Ring, Amulet		1-5	1	4	25	
	Light	+1 to Light Radius, +[15-30] to Attack Rating	Armor, Rod, Ring, Amulet, Quiver		6-46	4	1	25	added max alvl, added Quiver, AR was 15
	Radiance	+3 to Light Radius, +[30-60] to Attack Rating	Rod, Missile Weapon, Helm, Chest, Quiver		15-55	11	1	25	split off Ring, Amulet, added max alvl, added Chest, Quiver, AR was 30
	Radiance	+3 to Light Radius, +[30-60] to Attack Rating	Ring, Amulet		15	11	1	25	new (split off)
	Clarity	+4 to Light Radius, +[60-120] to Attack Rating	Rod, Missile Weapon, Amulet, Helm, Chest, Ring		25	21	1	25	new
	Divinity	+5 to Light Radius, +[120-240] to Attack Rating	Rod, Missile Weapon, Amulet, Chest		50	42	1	25	new
312	Sun	+5 to Light Radius, [10-20]% Bonus to Attack Rating	Rod, Missile Weapon, Gloves, Ring, Amulet, Helm, Chest		17	12	1	25	added Chest, increased AR% values
824	Sunset	+5 to Light Radius, 10% Bonus to Attack Rating	Rod, Missile Weapon, Gloves, Ring, Amulet, Helm, Chest		27	22	1	25	new
855	Sunset	+[5-8] to Light Radius, 10% Bonus to Attack Rating	Rod, Missile Weapon, Gloves, Ring, Amulet, Helm, Chest		34	26	1	25	new
	Jackal	+[1-5] to Life	Chest, Belt, Amulet, Barbarian Helm, Circlet		1-41	1	3	26	added max alvl
	Jackal	+[1-5] to Life	Shield, Druid Helm		4-44	3	3	26	added max alvl
	Jackal	+[1-5] to Life	Any Mace, Ring, Helm		8-48	6	3	26	added max alvl
	Fox	+[6-10] to Life	Chest, Belt, Amulet, Barbarian Helm, Circlet, Quiver		7-47	5	3	26	added max alvl, added Quiver
	Fox	+[6-10] to Life	Shield, Druid Helm		11-55	8	3	26	added max alvl
	Fox	+[6-10] to Life	Any Mace, Helm		17-57	13	3	26	split off Ring, added max alvl
	Fox	+[6-10] to Life	Ring		17	13	3	26	new (split off)
	Wolf	+[11-20] to Life	Chest, Barbarian Helm, Circlet, Quiver		15-55	11	3	26	split off Amulet, Belt, added max alvl, added Quiver
	Wolf	+[11-20] to Life	Amulet, Belt		15	11	3	26	new (split off)
	Wolf	+[11-20] to Life	Shield, Druid Helm		27-67	20	3	26	added max alvl
	Wolf	+[11-20] to Life	Any Mace, Helm		34-74	26	3	26	split off Ring, added max alvl
	Wolf	+[11-20] to Life	Ring		34	26	3	26	new (split off)
	Tiger	+[21-30] to Life	Chest, Belt, Amulet, Barbarian Helm, Circlet, Quiver		20	15	3	26	added Quiver
	Tiger	+[21-30] to Life	Shield, Druid Helm		43	35	3	26	
	Tiger	+[21-30] to Life	Any Mace, Ring, Helm		51	43	3	26	
	Mammoth	+[31-40] to Life	Chest, Belt, Amulet, Barbarian Helm, Circlet, Quiver		25	18	3	26	added Quiver
	Mammoth	+[31-40] to Life	Shield, Druid Helm		59	51	3	26	
	Mammoth	+[31-40] to Life	Any Mace, Ring, Helm		68	60	3	26	
	Colossus	+[41-60] to Life	Chest, Belt, Amulet, Barbarian Helm, Circlet		30	22	3	26	
	Colossus	+[41-60] to Life	Shield, Druid Helm		75	67	3	26	was 1
	Squid	+[61-80] to Life	Chest, Belt, Barbarian Helm, Circlet, Shield		40	30	3	26	split off Amulet, was 1
	Squid	+[61-80] to Life	Amulet	1	40	30	3	26	new (split off)
	Whale	+[81-100] to Life	Chest, Belt, Barbarian Helm, Circlet, Shield		50	37	3	26	split off Amulet, was 1
	Whale	+[81-100] to Life	Amulet	1	50	37	3	26	new (split off)
	Leech	[2-3]% Life Stolen per Hit	Amulet		24	20	2	27	
	Leech	3% Life Stolen per Hit	Gloves		34	26	4	27	
	Leech	[3-4]% Life Stolen per Hit	Ring, Circlet, Helm		14	10	4	27	added Helm
	Leech	[4-5]% Life Stolen per Hit	Melee Weapon, Missile Weapon, Quiver		6	4	7	27	added Quiver
743	Locust	[4-5]% Life Stolen per Hit	Amulet		57	45	2	27	
356	Locust	[5-6]% Life Stolen per Hit	Ring, Circlet, Helm		47	35	4	27	added Helm
353	Locust	[6-7]% Life Stolen per Hit	Melee Weapon, Quiver		20	15	7	27	added Quiver
	Lamprey	6% Life Stolen per Hit	Amulet		75	63	2	27	alvl was 85, rlvl was 73
	Lamprey	[6-9]% Life Stolen per Hit	Quiver	1	55	43	7	27	new
	Lamprey	[7-8]% Life Stolen per Hit	Ring, Circlet		77	65	4	27	
	Lamprey	[8-9]% Life Stolen per Hit	Melee Weapon		55	43	7	27	
	Bat	[2-3]% Mana Stolen per Hit	Ring		25	21	2	28	
	Bat	3% Mana Stolen per Hit	Gloves		35	27	4	28	
	Bat	[3-4]% Mana Stolen per Hit	Amulet, Circlet, Helm		15	11	4	28	added Helm
	Bat	[4-5]% Mana Stolen per Hit	Melee Weapon, Missile Weapon, Quiver		7	4	7	28	added Quiver
746	Wraith	[4-5]% Mana Stolen per Hit	Ring		58	46	2	28	
363	Wraith	[5-6]% Mana Stolen per Hit	Amulet, Circlet, Helm		58	40	4	28	added Helm
360	Wraith	[6-7]% Mana Stolen per Hit	Melee Weapon, Quiver		21	16	7	28	added Quiver
	Vampire	6% Mana Stolen per Hit	Ring		76	64	2	28	alvl was 86, rlvl was 74
	Vampire	[6-9]% Mana Stolen per Hit	Quiver	1	56	48	7	28	new
	Vampire	[7-8]% Mana Stolen per Hit	Amulet, Circlet		78	66	4	28	
	Vampire	[8-9]% Mana Stolen per Hit	Melee Weapon		56	48	7	28	
	Remedy	Poison Length Reduced by 25%	Armor, Ring, Amulet, Circlet, Quiver		7	5	3	29	added Quiver
	Amelioration	Poison Length Reduced by 50%	Chest, Shield, Amulet, Circlet, Quiver		18	13	3	29	added Quiver
	Defiance	Poison Length Reduced by 75%	Chest, Shield, Amulet, Circlet, Quiver		25	18	2	29	added Quiver
	Ease	Requirements -20%	Chest, WeaponPS, Shield		15	11	3	30	
	Simplicity	Requirements -30%	Chest, WeaponPS, Shield		25	18	2	30	
732	Strength	+1 to Strength	Gloves		1-11	1	4	31	
733	Strength	+1 to Strength	Ring		1-4	1	4	31	
372	Strength	+[1-2] to Strength	Amulet, Belt, Club, Hammer, Circlet, Helm		1-41	1	4	31	added max alvl, added Helm
378	Strength	+[1-2] to Strength	Ring, Scepter, Tipped Mace		5-45	3	4	31	added max alvl
383	Strength	+[1-2] to Strength	Non-Blunt Melee Weapon, Gloves, Shield, Chest		12-52	8	3	31	added max alvl
373	Might	+[3-5] to Strength	Belt, Club, Hammer, Circlet, Quiver, Helm		10-50	8	3	31	split off Amulet, addex max alvl, added Quiver, added Helm
852	Might	+[3-5] to Strength	Amulet, Ring, Gloves		10	8	3	31	new (split off), added Ring, Gloves
379	Might	+[3-5] to Strength	Scepter, Tipped Mace, Chest		21-61	15	3	31	added max alvl, removed Ring
384	Might	+[3-5] to Strength	Non-Blunt Melee Weapon, Shield, Chest		33-73	25	3	31	added max alvl, removed Gloves
374	Ox	+[6-9] to Strength	Amulet, Belt, Club, Hammer, Circlet, Quiver, Helm		26	19	3	31	added Quiver, added Helm
380	Ox	+[6-9] to Strength	Ring, Scepter, Tipped Mace, Chest		38	30	3	31	
385	Ox	+[6-9] to Strength	Non-Blunt Melee Weapon, Gloves, Shield, Chest		45	37	3	31	
375	Giant	+[10-15] to Strength	Amulet, Belt, Club, Hammer, Circlet, Quiver, Helm		42	34	3	31	added Quiver, added Helm
381	Giant	+[10-15] to Strength	Ring, Scepter, Tipped Mace, Chest, Shield		55	47	3	31	added Shield
386	Giant	+[10-15] to Strength	Non-Blunt Melee Weapon, Gloves		59	51	3	31	
376	Titan	+[16-20] to Strength	Amulet, Belt, Club, Hammer, Circlet, Helm		58	50	3	31	added Helm
382	Titan	+[16-20] to Strength	Ring, Scepter, Tipped Mace, Chest, Shield		74	66	3	31	added Shield
377	Atlas	+[21-30] to Strength	Amulet, Belt, Club, Hammer, Circlet, Helmet, Shield		71	63	3	31	added Helmet & Shield
982	Atlas	+[21-30] to Strength	Chest		71	63	3	31	new (other atlas modifier had to many sources)
394	Pacing	+10% Faster Run/Walk	Boots, Circlet		12	8	3	35	
825	Pacing	+10% Faster Run/Walk	Amazon Weapon, Quiver		12	8	4	35	new, increased frequency
395	Haste	+20% Faster Run/Walk	Boots, Circlet		22	16	4	35	
826	Haste	+20% Faster Run/Walk	Amazon Weapon, Quiver		22	16	4	35	new, increased frequency
396	Speed	+30% Faster Run/Walk	Boots, Circlet		37	29	4	35	
397	Transportation	+30% Faster Run/Walk, [80-90]% Slower Stamina Drain	Boots		65	57	4	35	was 1
398	Acceleration	+40% Faster Run/Walk	Boots	1	51	43	4	35	
	Self-Repair	Repairs 1 Durability in 33 seconds	Non-Throwing Melee Weapon, Orb, Armor		3	1	3	37	
	Fast Repair	Repairs 1 Durability in 20 seconds	Non-Throwing Melee Weapon, Orb, Armor		20	12	2	37	
	Ages	Indestructible	Non-Throwing Melee Weapon, Orb, Armor	1	50	42	1	39	
	Centaur	+[0-74] to Life (+0.75 per Level)	Chest, Druid Helm, Barbarian Helm, Shield		20	1	1	41	split off Amulet, was 1, added Shield
	Centaur	+[0-74] to Life (+0.75 per Level)	Amulet	1	20	1	1	41	new (split off)
	Mnemonic	+[0-74] to Mana (+0.75 per Level)	Circlet, Amulet, Druid Helm		20	1	1	41	was 1
	Elephant	+[0-49] to Life (+0.5 per Level), +[0-24] to Mana (+0.25 per Level)	Circlet, Druid Helm		37	7	2	41	was 1
	Fireball	14% Chance to Cast Level 18 Fire Ball on Casting	Staff		36	27	1	44	new
	Fireball	14% Chance to Cast Level 24 Fire Ball on Casting	Staff		56	42	1	44	new
	Fireball	14% Chance to Cast Level 30 Fire Ball on Casting	Staff		76	57	1	44	new
	Fireball	16% Chance to Cast Level 18 Fire Ball on Striking	WeaponP		36	27	1	44	new
	Fireball	16% Chance to Cast Level 24 Fire Ball on Striking	WeaponP		56	42	1	44	new
	Fireball	16% Chance to Cast Level 30 Fire Ball on Striking	WeaponP		76	57	1	44	new
	Charged Bolt	18% Chance to Cast Level 18 Charged Bolt on Casting	Staff		36-56	27	1	44	new
	Charged Bolt	18% Chance to Cast Level 24 Charged Bolt on Casting	Staff		56-76	42	1	44	new
	Charged Bolt	18% Chance to Cast Level 30 Charged Bolt on Casting	Staff		76	57	1	44	new
	Charged Bolt	20% Chance to Cast Level 18 Charged Bolt on Striking	WeaponP		36-56	27	1	44	new
	Charged Bolt	20% Chance to Cast Level 24 Charged Bolt on Striking	WeaponP		56-76	42	1	44	new
	Charged Bolt	20 Chance to Cast Level 30 Charged Bolt on Striking	WeaponP		76	57	1	44	new
	Lightning	14% Chance to Cast Level 18 Lightning on Casting	Staff		36-56	27	1	44	new
	Lightning	14% Chance to Cast Level 24 Lightning on Casting	Staff		56-76	42	1	44	new
	Lightning	14% Chance to Cast Level 30 Lightning on Casting	Staff		76	57	1	44	new
	Lightning	16% Chance to Cast Level 18 Lightning on Striking	WeaponP		36-56	27	1	44	new
	Lightning	16% Chance to Cast Level 24 Lightning on Striking	WeaponP		56-76	42	1	44	new
	Lightning	16% Chance to Cast Level 30 Lightning on Striking	WeaponP		76	57	1	44	new
	Chain Lightning	12% Chance to Cast Level 18 Chain Lightning on Casting	Staff		36-56	27	1	44	new
	Chain Lightning	12% Chance to Cast Level 24 Chain Lightning on Casting	Staff		56-76	42	1	44	new
